description;label
A będzie Ci lepiej niż w niebie;czadoman
Jeżeli słyszysz nie zwlekaj;coma
duje Łeb!;coma
które od bólu łzami pękną;coma
Ole, ole, ole, ole;czadoman
Nie przez bibułę,;coma
I kret kosmaty,;coma
Białe ich brzuchy, brudne paluchy;coma
Podchodzi świerszczyk tymczasem;coma
Z sufitem na podobieństwo nocy;coma
Ciężki łeb.;coma
Ty tlen mi dostarczysz;coma
Moja bejbe, taki piękny kwiat;czadoman
A teraz się yeah yeah;czadoman
Samotne głowy uzbrojone w żal;coma
nam to nie przeszkadza;czadoman
które od bólu łzami pękną;coma
Tu można dostać w dziób.;coma
Póki co całą słodycz gwiazd Tobie dam...;coma
Upijać i wciągać do łóżka;coma
I nie mów, że nie wypada.;czadoman
Huczna, nocna uczta, wilgotna,;coma
ja i ty;czadoman
Hej kochanie, zerknij w lustro (2 x);czadoman
Pobawimy się w myszkę i kotka;czadoman
Ile byłoby mnie? Lub o ile by mniej? O ile by mniej?;coma
Popatrz mam, mam na życie bilet;czadoman
Czy jutro gdy spojrzę na siebie;coma
Idę sam gubię się, mijam miasto wieś;czadoman
Pokochaj mnie, niech wszyscy to zobaczą.;czadoman
Zapamięta, niech zapamięta.;coma
W bramach czai się zło.;coma
Tego co jeszcze we mnie;coma
Bo to jest miłość;czadoman
Pozostały już tylko paskudy;coma
Dookola jeszcze czarno i biało,;czadoman
Zapiera dech ona kręci mnie;czadoman
Tak się bawi, tak się bawi cały świat;czadoman
To nie jest sen;czadoman
Gdy tylko poczują, że robi się cieplej;coma
A przyjdzie czas, przyjdzie, próby czas;coma
Polacy nigdy nie poddają się;czadoman
z niecierpliwości strun spragnionych;coma
Listo pad,;coma
Tutaj się właśnie zaczęło;coma
Oto cisza i ogień!;coma
Bo to jest miłość;czadoman
Przez korytarz betonowych spraw;coma
po to by Cię bawić;czadoman
Choć jesteś tu, czuję, że jestem sam;czadoman
Czy tego chcesz czy nie;czadoman
Żubr fakt,;coma
Nie wykaaaraskasz się pan.;coma
Łysnął?;coma
Nowy, pokojowy, zdrowy duch.;coma
I w trosce o zdrowie;coma
a czas wolno płynie;czadoman
W listowiu swojski;coma
Twa uroda to oszustwo;czadoman
Czarne chmury nad głową,;coma
Janka wbiły w złą tęsknotę;coma
Baba z brodą wyje jak pies,;coma
superbohaterem;czadoman
Nabawisz się pan skrzepu;coma
Każdy śni, o Tobie marzy;czadoman
To strzęp księżyca;coma
I rozrzucam na wiatr;coma
Pozwalałem ci na wszystko;coma
Pomimo ciszy i cienia;coma
a teraz woah woah woah;czadoman
Nie krzyczą dookoła: jestem sam;czadoman
Będzie dzisiaj niezły jazz;czadoman
Moja bejbe, tak nazywam ją;czadoman
Kocham was, mówię szczerze, choć w tę miłość sam nie wierzę.;czadoman
Stoję i moknę a krawat uwiera;czadoman
To las tak szumi,;coma
Jak to jest?;czadoman
Większej ciszy nikt nie słyszał, teraz wiem gdzie mieszka Bóg...;coma
Plecy zziębnięte, bolesne,;coma
tańcz, tańcz;czadoman
Ale pomyliłem się;czadoman
Polacy, Polacy, Polacy;czadoman
Gdy budzisz się rano i nie wiesz jak żyć;czadoman
Odpowiedzią będzie cisza ... oszalałych niemych ust;coma
Wtłoczony lekko w obcy nurt;coma
Tak, tak!;coma
Z bezmyślnej szarpaniny;coma
A w sobotę na imprezie u znajomych,;czadoman
z różańca wpół uśpionych domów;coma
Z rudą noce są wspaniałe!;czadoman
Ruda okazała sie być blondyną,;czadoman
Rzadki okaz,;coma
Na tobie tak piękne są;czadoman
A my z harmonii i rozdźwięku;coma
Szukam ludzi, którzy wciąż kochają;czadoman
A przyjdzie czas, przyjdzie, próby;coma
Tak się bawi, tak się bawi cały świat;czadoman
Chciałbym zatańczyć, zanim wieczór minie.;czadoman
modre oczy zwiodły Zbycha;coma
Inie mów, że nie wypada.;czadoman
Oto cisza i ogień.;coma
Jak to jest? Wokół puste ściany;czadoman
Na pośmiewisko.;coma
po to by Cię bawić;czadoman
Gdy śpiewać zaczęła do ucha;coma
Powstał sam,;coma
Bóg go teraz nie chce w niebie.;coma
Po co się budzić gdy życie się chłodzi;czadoman
0Rh+;coma
Przejąłem władzę;coma
Czy długo tak?;coma
Zanim na psy, manowce zejdziesz. / To dla twojego dobra.;coma
zaufaj mi;czadoman
Król lasu;coma
Z tym ciśnieniem;coma
Zamknięta w systemie rurek,;coma
Na pewno nie wiem co dalej;coma
We mnie i w tobie.;coma
Pokój bez widoków na przyszłość;coma
Wiodą słusznie moje stopy, nie zabraknie mi sił;coma
Pozwól mi i wpuść mnie do środka;czadoman
Do tego mi wystarczy;coma
Pozwól mi zbliżyć się do siebie;czadoman
Pożałowania godna puenta.;coma
na pewno trzeba;coma
z brzóz przedwieczornych;coma
ja idę w świetle dnia;coma
 Kiedy jesteś roześmiana, wtedy jesteś taka kochana!;czadoman
W gwiazdozbiorze tym;coma
Urok wdzięk jak z obrazka;czadoman
Łypiąc okiem,;coma
Chwała wyklętym nauczycielom, niczego nas nie nauczyli;coma
Oto Cisza i ogień - to we mnie i;coma
Kiedy jesteś roześmiana?! Wtedy jesteś taka kochana!;czadoman
Ile byłoby mnie? Lub o ile by mniej? O ile by mniej?;coma
Ale będziesz bez napomnień;coma
specjalnie dla Ciebie zerwane na łące;czadoman
bo w serduszku kamień miała.;coma
Kocham was, mówię szczerze, choć w tę miłość sam nie wierzę.;czadoman
chociaż one ciągle walą do mnie focha.;czadoman
ja jestem superbohaterm;czadoman
Rzeczy bieg.;coma
Zza klonu wylazł;coma
Jeszcze raz przyjdzie czas, w którym głośno;czadoman
które stoją nad cichą rzeką zamyślenia;coma
Niósł szklisty pył;coma
a rutynę zabić;czadoman
One, to one, bliźniaczki szałowe;czadoman
Że tak się źle zachował, / To dla twojego dobra.;coma
One, to one, bliźniaczki szałowe;czadoman
Zapomniałem, że ja...;coma
pójść nie chciała i za Pana.;coma
W Twoim glosie słyszę szept,;czadoman
gwiazdy z mądrości swoich oczu;coma
Nasycam się dniem.;coma
Lubisz śpiewać aż do rana!;czadoman
Między drogami, które znasz;coma
W białej pościeli zanurzeni;czadoman
Przyjęła mnie;coma
Która pokocha dziś mnie?;czadoman
Taniec;czadoman
Moja bejbe, o niej wszyscy śnią;czadoman
W roztargnieniu na śmierć;coma
Na liści strzępkach;coma
Polacy nigdy nie poddają się;czadoman
Witając mnie.;coma
